id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_matches_count,h2h_win_ratio,h2h_goal_difference,h2h_avg_goals,isDerby,derbyType,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value,home_goals,home_xg,home_injury_count,home_last5_form_points,away_goals,away_xg,away_injury_count,away_last5_form_points,value_difference,value_ratio,goals_difference,goals_ratio,xg_difference,xg_ratio,form_difference,injury_difference,age_difference,home_power_index,away_power_index,power_difference,performance_ratio
441819,2023-09-16T13:30:00Z,4,11,VfL Wolfsburg,28,1. FC Union Berlin,2,1,HomeWin,3.0,3.0,vfl wolfsburg,1. fc union berlin,0,0,0,0,0,0,0.5,0,2.5,0,Normal,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,7.0,4.5,0.0,0.0,4.0,4.0,0.0,0.0,80000000.0,1.5333333333333334,3.0,1.75,0.5,1.125,0.0,0.0,-1.3000000000000007,13.475,13.180999999999997,0.29400000000000226,1.5555555555555556
441820,2023-09-16T13:30:00Z,4,15,1. FSV Mainz 05,10,VfB Stuttgart,1,3,AwayWin,6.0,3.0,1. fsv mainz 05,vfb stuttgart,0,0,0,0,0,0,0.5,0,2.5,0,Normal,120000000.0,115000000.0,4.3,25.9,5000000.0,18.6,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,5.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,-100000000.0,0.5454545454545454,0.0,1.0,2.0,1.4,0.0,0.0,0.1999999999999993,13.02,13.447,-0.4269999999999996,0.7142857142857143
441821,2023-09-16T13:30:00Z,4,1,1. FC Köln,2,TSG 1899 Hoffenheim,1,3,AwayWin,0.0,1.0,1. fc koln,tsg 1899 hoffenheim,0,0,0,0,0,0,0.5,0,2.5,0,Normal,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,9.0,6.9,0.0,0.0,8.0,5.5,0.0,0.0,-90000000.0,0.5263157894736842,1.0,1.125,1.4000000000000004,1.2545454545454546,0.0,0.0,1.3999999999999986,12.894,13.341999999999999,-0.4479999999999986,1.3043478260869565
441822,2023-09-16T16:30:00Z,4,36,VfL Bochum 1848,19,Eintracht Frankfurt,1,1,Draw,4.0,2.0,bochum 1848,eintracht frankfurt,0,0,0,0,0,0,0.5,0,2.5,0,Normal,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,280000000.0,260000000.0,7.7,26.3,20000000.0,19.45,6.555555555555555,5.794444444444444,0.0,0.0,8.0,5.1,0.0,0.0,-18611111.111111104,0.933531746031746,-1.4444444444444446,0.8194444444444444,0.6944444444444446,1.136165577342048,0.0,0.0,-0.1999999999999993,13.321,13.614999999999998,-0.2939999999999987,1.1313518696069031
441823,2023-09-17T13:30:00Z,4,44,1. FC Heidenheim 1846,12,SV Werder Bremen,4,2,HomeWin,3.0,1.0,1. fc heidenheim 1846,sv werder bremen,0,0,0,0,0,0,0.5,0,2.5,0,Normal,40000000.0,35000000.0,14.3,27.2,5000000.0,17.5,110000000.0,105000000.0,4.8,26.4,5000000.0,18.52,2.0,4.9,0.0,0.0,8.0,6.6,0.0,0.0,-70000000.0,0.36363636363636365,-6.0,0.25,-1.6999999999999993,0.7424242424242425,0.0,0.0,0.8000000000000007,12.25,12.963999999999999,-0.7139999999999986,0.4081632653061224
441824,2023-09-17T15:30:00Z,4,55,SV Darmstadt 98,18,Borussia Mönchengladbach,3,3,Draw,0.0,2.0,darmstadt 98,borussia monchengladbach,0,0,0,0,0,0,0.5,0,2.5,0,Normal,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,250000000.0,240000000.0,4.2,26.0,10000000.0,19.34,6.555555555555555,5.794444444444444,0.0,0.0,0.0,4.4,0.0,0.0,11388888.888888896,1.0455555555555556,6.555555555555555,65.55555555555554,1.394444444444444,1.3169191919191918,0.0,0.0,0.10000000000000142,13.321,13.537999999999998,-0.21699999999999875,1.1313518696069031
441833,2023-09-22T18:30:00Z,5,10,VfB Stuttgart,55,SV Darmstadt 98,3,1,HomeWin,9.0,3.0,vfb stuttgart,darmstadt 98,0,0,0,0,0,0,0.5,0,2.5,0,Normal,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,5.0,5.0,0.0,0.0,6.555555555555555,5.794444444444444,0.0,0.0,-41388888.888888896,0.8416578108395324,-1.5555555555555554,0.7627118644067797,-0.7944444444444443,0.862895493767977,0.0,0.0,-0.40000000000000213,13.447,13.321,0.12599999999999945,1.0
441825,2023-09-23T13:30:00Z,5,5,FC Bayern München,36,VfL Bochum 1848,7,0,HomeWin,7.0,6.0,fc bayern munchen,bochum 1848,0,0,0,0,0,0,0.5,0,2.5,0,Normal,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,18.0,11.2,0.0,0.0,6.555555555555555,5.794444444444444,0.0,0.0,718611111.1111112,3.749202975557917,11.444444444444445,2.745762711864407,5.405555555555555,1.9328859060402683,0.0,0.0,0.6999999999999993,14.489999999999998,13.321,1.1689999999999987,1.6071428571428572
441826,2023-09-23T13:30:00Z,5,4,Borussia Dortmund,11,VfL Wolfsburg,1,0,HomeWin,6.0,3.0,borussia dortmund,vfl wolfsburg,0,0,0,0,0,0,0.5,0,2.5,0,Normal,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,8.0,6.7,0.0,0.0,7.0,4.5,0.0,0.0,240000000.0,2.0434782608695654,1.0,1.1428571428571428,2.2,1.488888888888889,0.0,0.0,-0.9000000000000021,13.979,13.475,0.5039999999999996,1.1940298507462686
441827,2023-09-23T13:30:00Z,5,28,1. FC Union Berlin,2,TSG 1899 Hoffenheim,0,2,AwayWin,3.0,9.0,1. fc union berlin,tsg 1899 hoffenheim,0,0,0,0,0,0,0.5,0,2.5,0,Normal,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,4.0,4.0,0.0,0.0,8.0,5.5,0.0,0.0,-40000000.0,0.7894736842105263,-4.0,0.5,-1.5,0.7272727272727273,0.0,0.0,1.8000000000000007,13.180999999999997,13.341999999999999,-0.16100000000000136,1.0
