id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value
441789,2023-08-18T18:30:00Z,1,12,SV Werder Bremen,5,FC Bayern München,0,4,AwayWin,0.0,0.0,sv werder bremen,fc bayern munchen,110000000.0,105000000.0,4.8,26.4,5000000.0,18.52,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7
441792,2023-08-19T13:30:00Z,1,3,Bayer 04 Leverkusen,721,RB Leipzig,3,2,HomeWin,0.0,0.0,bayer 04 leverkusen,rb leipzig,620000000.0,580000000.0,6.9,25.2,40000000.0,20.25,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07
441794,2023-08-19T13:30:00Z,1,11,VfL Wolfsburg,44,1. FC Heidenheim 1846,2,0,HomeWin,0.0,0.0,vfl wolfsburg,1. fc heidenheim 1846,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,40000000.0,35000000.0,14.3,27.2,5000000.0,17.5
441795,2023-08-19T13:30:00Z,1,2,TSG 1899 Hoffenheim,17,SC Freiburg,1,2,AwayWin,0.0,0.0,1899 hoffenheim,sc freiburg,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01
441796,2023-08-19T13:30:00Z,1,16,FC Augsburg,18,Borussia Mönchengladbach,4,4,Draw,1.0,0.0,fc augsburg,borussia monchengladbach,130000000.0,125000000.0,4.0,26.2,5000000.0,18.68,250000000.0,240000000.0,4.2,26.0,10000000.0,19.34
441797,2023-08-19T13:30:00Z,1,10,VfB Stuttgart,36,VfL Bochum 1848,5,0,HomeWin,3.0,0.0,vfb stuttgart,bochum 1848,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
441790,2023-08-19T16:30:00Z,1,4,Borussia Dortmund,1,1. FC Köln,1,0,HomeWin,0.0,0.0,borussia dortmund,1. fc koln,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
441791,2023-08-20T13:30:00Z,1,28,1. FC Union Berlin,15,1. FSV Mainz 05,4,1,HomeWin,3.0,0.0,1. fc union berlin,fmainz 05,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,120000000.0,115000000.0,4.3,25.9,5000000.0,18.6
441793,2023-08-20T15:30:00Z,1,19,Eintracht Frankfurt,55,SV Darmstadt 98,1,0,HomeWin,3.0,0.0,eintracht frankfurt,darmstadt 98,280000000.0,260000000.0,7.7,26.3,20000000.0,19.45,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
441799,2023-08-25T18:30:00Z,2,721,RB Leipzig,10,VfB Stuttgart,5,1,HomeWin,3.0,0.0,rb leipzig,vfb stuttgart,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21
