squad_player,squad_player_norm,fbref_player,fbref_player_norm,score,method,status
Eliesse Ben Seghir,eliesse ben seghir,Eliesse Ben Seghir,eliesse ben seghir,100.0,exact_match,matched
Martin Terrier,martin terrier,Martin Terrier,martin terrier,100.0,exact_match,matched
Nathan Tella,nathan tella,Nathan Tella,nathan tella,100.0,exact_match,matched
Ernest Poku,ernest poku,Ernest Poku,ernest poku,100.0,exact_match,matched
Patrik Schick,patrik schick,Patrik Schick,patrik schick,100.0,manual_mapping,matched
Christian Kofane,christian kofane,Christian Kofane,christian kofane,100.0,exact_match,matched
Gregor Kobel,gregor kobel,Gregor Kobel,gregor kobel,100.0,manual_mapping,matched
Alexander Meyer,alexander meyer,Alexander Meyer,alexander meyer,100.0,exact_match,matched
Nico Schlotterbeck,nico schlotterbeck,Nico Schlotterbeck,nico schlotterbeck,100.0,exact_match,matched
Waldemar Anton,waldemar anton,Waldemar Anton,waldemar anton,100.0,exact_match,matched
Niklas Süle,niklas suele,Niklas Süle,niklas suele,100.0,exact_match,matched
Aarón Anselmino,aaron anselmino,Aaron Anselmino,aaron anselmino,100.0,exact_match,matched
Emre Can,emre can,Emre Can,emre can,100.0,manual_mapping,matched
Filippo Mane,filippo mane,Filippo Mane,filippo mane,100.0,exact_match,matched
Ramy Bensebaini,ramy bensebaini,Ramy Bensebaini,ramy bensebaini,100.0,exact_match,matched
Almugera Kabar,almugera kabar,Almugera Kabar,almugera kabar,100.0,exact_match,matched
Yan Couto,yan couto,Yan Couto,yan couto,100.0,exact_match,matched
Julian Ryerson,julian ryerson,Julian Ryerson,julian ryerson,100.0,exact_match,matched
Salih Özcan,salih oezcan,Salih Özcan,salih oezcan,100.0,exact_match,matched
Felix Nmecha,felix nmecha,Felix Nmecha,felix nmecha,100.0,manual_mapping,matched
Jobe Bellingham,jobe bellingham,Jobe Bellingham,jobe bellingham,100.0,exact_match,matched
Carney Chukwuemeka,carney chukwuemeka,Carney Chukwuemeka,carney chukwuemeka,100.0,exact_match,matched
Marcel Sabitzer,marcel sabitzer,Marcel Sabitzer,marcel sabitzer,100.0,exact_match,matched
Pascal Groß,pascal gross,Pascal Groß,pascal gross,100.0,exact_match,matched
Daniel Svensson,daniel svensson,Daniel Svensson,daniel svensson,100.0,exact_match,matched
Julian Brandt,julian brandt,Julian Brandt,julian brandt,100.0,manual_mapping,matched
Julien Duranville,julien duranville,Julien Duranville,julien duranville,100.0,exact_match,matched
Karim Adeyemi,karim adeyemi,Karim Adeyemi,karim adeyemi,100.0,manual_mapping,matched
Cole Campbell,cole campbell,Cole Campbell,cole campbell,100.0,exact_match,matched
Serhou Guirassy,serhou guirassy,Serhou Guirassy,serhou guirassy,100.0,exact_match,matched
Maximilian Beier,maximilian beier,Maximilian Beier,maximilian beier,100.0,exact_match,matched
Maarten Vandevoordt,maarten vandevoordt,Maarten Vandevoordt,maarten vandevoordt,100.0,exact_match,matched
Péter Gulácsi,peter gulacsi,Péter Gulácsi,peter gulacsi,100.0,manual_mapping,matched
Castello Lukeba,castello lukeba,Castello Lukeba,castello lukeba,100.0,exact_match,matched
